Nomes	CBRO	Referência (handbook of the bird of the world and BirdLife)		Arrumar
Conopophaga cearae	Conopophaga cearae	Conopophaga cearae		
Conopophaga lineata lineata	Conopophaga lineata lineata	Conopophaga lineata lineata		
Conopophaga lineata cearae	Conopophaga cearae			
Conopophaga lineata lineata	Conopophaga lineata lineata			
Conopophaga melanops nigrifrons	Conopophaga melanops nigrifrons			
Conothraupis mesoleuca	Conothraupis mesoleuca	Conothraupis mesoleuca		
Conothraupis mesoleuca	Conothraupis mesoleuca			
Contopus cinereus	Contopus cinereus	Contopus cinereus		
Contopus nigrescens	Contopus nigrescens	Contopus nigrescens		
Coryphaspiza melanotis	Coryphaspiza melanotis	Coryphaspiza melanotis		
Coryphaspiza melanotis marajoara	Coryphaspiza melanotis marajoara	Coryphaspiza melanotis marajoara		
Coryphaspiza melanotis	Coryphaspiza melanotis			
Coryphistera alaudina	Coryphistera alaudina	Coryphistera alaudina		
Coryphistera alaudina	Coryphistera alaudina			
Coryphisteraalaudina	Coryphistera alaudina	Coryphistera alaudina		
Corythopis delalandi	Corythopis delalandi	Corythopis delalandi		
Cotinga maculata	Cotinga maculata	Cotinga maculata		
Cotinga maculata	Cotinga maculata			
Coturnicops notatus	Coturnicops notatus	Coturnicops notatus		
Cranioleuca sulphurifera	Limnoctites sulphuriferus	Cranioleuca sulphurifera		
Cranioleuca vulpina	Cranioleuca vulpina	Cranioleuca vulpina		
Cranioleuca muelleri	Cranioleuca muelleri			
Crax blumembachii	Crax blumenbachii	Crax blumenbachii	Erro de escrita SC	
Crax blumenbachii	Crax blumenbachii	Crax blumenbachii		
Crax fasciolata	Crax fasciolata	Crax fasciolata		
Crax fasciolata fasciolata	Crax fasciolata fasciolata	Crax fasciolata fasciolata		
Crax fasciolata pinima	Crax fasciolata pinima	Crax fasciolata pinima		
Crax globulosa	Crax globulosa	Crax globulosa		
Crax blumenbachii	Crax blumenbachii			
Crax fasciolata pinima	Crax fasciolata pinima			
Crax globulosa	Crax globulosa			
Crotophaga major	Crotophaga major	Crotophaga major		
Crypturellus noctivagus	Crypturellus noctivagus	Crypturellus noctivagus		
Crypturellus noctivagus noctivagus	Crypturellus noctivagus	Crypturellus noctivagus noctivagus		
